Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?,,,,,,,,,,,,,,,
7/27/23,Jilly,A,2:31,AM,3,AM,2,FT,Actor,N,,,,,,,,,,,,,,,
7/28/23,Jilly,B,10:11,AM,3,AM,2,CH,Actor,N,,,,,,,,,,,,,,,
7/29/23,Jilly,A,10:36,AM,2,AM,3,CH,Actor,N,,,,,,,,,,,,,,,
7/29/23,Jilly,A,8:42,AM,3,AM,1,CH,Actor,Y,,,,,,,,,,,,,,,
7/29/23,Jilly,A,10:40,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/29/23,Jilly,A,8:31,AM,3,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
7/29/23,Jilly,A,8:44,AM,2,AM,2,FT,Recipient,Y,,,,,,,,,,,,,,,
7/29/23,Jilly,A,8:47,AM,2,AM,3 and 3,FT,Recipient,Y,,,,,,,,,,,,,,,
8/1/23,Natalie,A,11:27,AM,3,AM,2,CH,Actor,N,,,,,,,,,,,,,,,
8/1/23,Natalie,A,10:36,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
8/1/23,Natalie,A,11:05,AM,3,AM,3,CH,Actor,Y,,,,,,,,,,,,,,,
8/1/23,Natalie,A,11:12,AM,3,AM,3,CH,Actor,Y,,,,,,,,,,,,,,,
8/1/23,Natalie,A,11:38,AM,3,AM,3,CH,Actor,Y,,,,,,,,,,,,,,,
8/5/23,Jilly,A,11:13,AM ,2,AM,3,CH,Actor,Y,,,,,,,,,,,,,,,
8/5/23,Jilly,A,10:26,AM,3,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
8/5/23,Jilly,A,10:36,AM,1,AM,2,TH ,Recipient,Y,,,,,,,,,,,,,,,
8/7/23,Jilly,B,8:45,AM ,2,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
8/9/23,Jacob,A,8:50,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
8/9/23,Jilly,B,9:51,AM ,3,AM,3,CH,Recipient,Y,,,,,,,,,,,,,,,
8/9/23,Jilly,B,9:53,AM ,3,AM,3,FT,Recipient,Y,,,,,,,,,,,,,,,
8/9/23,Jilly,B,9:56,AM ,3,AM,3,FT,Recipient,Y,,,,,,,,,,,,,,,
8/10/23,Jilly,A,8:24,AM ,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
