id,latitude,longitude,scientific_name,common_name
96934700,34.4423666667,-119.29815,Lynx rufus,Bobcat
97110271,34.1606102163,-118.9108710556,Lynx rufus,Bobcat
97568047,34.2097086963,-118.685833281,Lynx rufus,Bobcat
97737384,34.24193,-119.1893383333,Lynx rufus,Bobcat
98492074,34.7458881443,-119.368056171,Lynx rufus,Bobcat
98609646,34.7985258682,-119.3108848285,Lynx rufus,Bobcat
98679215,34.1536305,-118.9498666667,Lynx rufus,Bobcat
98913972,34.4378783333,-119.2010333333,Lynx rufus,Bobcat
100045940,34.44757,-119.1344305,Lynx rufus,Bobcat
100730519,34.4028824475,-119.3453896792,Lynx rufus,Bobcat
101377852,34.1592647239,-118.808093753,Lynx rufus,Bobcat
101677862,34.4237889576,-119.0788339117,Lynx rufus,Bobcat
101677864,34.4238243575,-119.0787695386,Lynx rufus,Bobcat
101689163,34.1530722196,-118.8873861753,Lynx rufus,Bobcat
101968048,34.4011463372,-118.8111525137,Lynx rufus,Bobcat
101994778,34.4457188,-119.3089776,Lynx rufus,Bobcat
102279623,34.2962273176,-118.6858705198,Lynx rufus,Bobcat
102421272,34.1183121282,-118.9459628239,Lynx rufus,Bobcat
102859367,34.285558,-118.8820414,Lynx rufus,Bobcat
103274375,34.2976416667,-119.1985833333,Lynx rufus,Bobcat
103344240,34.0966916667,-118.9727388889,Lynx rufus,Bobcat
103460671,34.4426848704,-118.898511336,Lynx rufus fasciatus,Western Bobcat
103720156,34.3003583333,-118.6809466667,Lynx rufus,Bobcat
103910803,34.2024588,-118.6907793,Lynx rufus,Bobcat
104381453,34.5030216667,-119.3905033333,Lynx rufus,Bobcat
105269767,34.1759554,-118.9388996,Lynx rufus,Bobcat
105269942,34.1759554,-118.9388996,Lynx rufus,Bobcat
105281617,34.3645366667,-119.2429883333,Lynx rufus,Bobcat
105876531,34.4451133333,-119.2869033333,Lynx rufus,Bobcat
106095858,34.4325662959,-119.0800837822,Lynx rufus,Bobcat
106410932,34.1789087512,-119.0384758988,Lynx rufus,Bobcat
106869443,34.0764721667,-119.0147333333,Lynx rufus,Bobcat
108414799,34.3508491872,-119.304311648,Lynx rufus,Bobcat
108478435,34.2330029629,-118.7015864216,Lynx rufus,Bobcat
109983420,34.56013,-119.1634,Lynx rufus,Bobcat
109983431,34.56018,-119.1633,Lynx rufus,Bobcat
110509478,34.7044120964,-119.3882223387,Lynx rufus,Bobcat
110664713,34.6913383333,-119.3029416667,Lynx rufus,Bobcat
110664845,34.6913632471,-119.3029548695,Lynx rufus,Bobcat
110664978,34.6913629119,-119.3035398425,Lynx rufus,Bobcat
110665035,34.6875333333,-119.3580166667,Lynx rufus,Bobcat
110818452,34.2432578583,-118.8362717776,Lynx rufus,Bobcat
110982524,34.6878916667,-119.358095,Lynx rufus,Bobcat
111475398,34.4244855164,-119.0679862513,Lynx rufus,Bobcat
111738197,34.40292,-119.2284783333,Lynx rufus,Bobcat
113237499,34.1549228601,-118.9559401882,Lynx rufus,Bobcat
116332270,34.2935633333,-119.1492833333,Lynx rufus,Bobcat
118281615,34.2910060066,-118.6695837537,Lynx rufus fasciatus,Western Bobcat
120544689,34.1830244293,-118.9324471727,Lynx rufus,Bobcat
123373765,34.4239331811,-119.0754006102,Lynx rufus,Bobcat
126535537,34.5424083333,-118.7842783333,Lynx rufus,Bobcat
127564574,34.3123259708,-118.9413830779,Lynx rufus,Bobcat
129912908,34.4519383333,-118.758675,Lynx rufus,Bobcat
131220418,34.19870525,-118.9911084,Lynx rufus,Bobcat
132721157,34.1763434862,-118.7948840484,Lynx rufus,Bobcat
133035780,34.3462033333,-119.2974383333,Lynx rufus,Bobcat
136962070,34.3593983654,-118.742941079,Lynx rufus,Bobcat
137301553,34.4687012306,-119.1956413188,Lynx rufus,Bobcat
137487285,34.2764496993,-118.7478350848,Lynx rufus,Bobcat
138745869,34.6867325501,-119.3571590777,Lynx rufus,Bobcat
141955379,34.6538248924,-119.3948609849,Lynx rufus fasciatus,Western Bobcat
142190061,34.3753519102,-118.9718837958,Lynx rufus,Bobcat
