Name,Team,Meet,Time,Flags,links_for_scores,Event,score,pts
Ella Suazo,Redlands,SCIAC Championships,30.52,X R,https://www.swimcloud.com/results/310385/event/27/?id=146862076#time146862076,50 Back,9,NA
Anne Lin,Caltech,Occidental Invite,30.61,R,https://www.swimcloud.com/results/321956/event/23/?id=137230629#time137230629,50 Back,34,NA
Lila Renke,Chapman,SCIAC Championships,30.61,X,https://www.swimcloud.com/results/310385/event/24/?id=146860794#time146860794,50 Back,NA,681
Beatrice Cai,Caltech,Caltech vs. California Lutheran vs. Redlands,30.73,X,https://www.swimcloud.com/results/314106/event/9/?id=141682527#time141682527,50 Back,6.50,NA
Dru Bauman,California Lutheran,Whittier v California Lutheran,30.75,R,https://www.swimcloud.com/results/320406/event/1/?id=135836562#time135836562,50 Back,6.50,NA
Gessica King,Whittier,Whittier vs. Coe,30.79,NA,https://www.swimcloud.com/results/328421/event/7/?id=141794641#time141794641,50 Back,4,NA
Katy Shaw,C-M-S,La Verne Invitational,31.2,X R,https://www.swimcloud.com/results/321222/event/9/?id=137407602#time137407602,50 Back,NA,664
Praise Okodogbe,C-M-S,La Verne Invitational,31.21,X,https://www.swimcloud.com/results/321222/event/21/?id=137407018#time137407018,50 Back,5,NA
Roxy Williams,Redlands,Redlands vs. C-M-S,31.26,X,https://www.swimcloud.com/results/331913/event/9/?id=143935993#time143935993,50 Back,NA,661
Jenna Davis,Chapman,Whittier vs. C-M-S vs. Chapman,31.35,X,https://www.swimcloud.com/results/318057/event/7/?id=135174026#time135174026,50 Back,14,NA
Elizabeth Ma,Caltech,Caltech vs. La Verne,31.44,R,https://www.swimcloud.com/results/314107/event/3/?id=144736170#time144736170,50 Back,34,NA
Clara Van Note,Chapman,Chapman vs. La Verne,31.6,R,https://www.swimcloud.com/results/328137/event/11/?id=141731111#time141731111,50 Back,–,NA
Emmie Appl,Pomona-Pitzer,Cal Lutheran vs Pomona-Pitzer,31.66,X,https://www.swimcloud.com/results/319486/event/9/?id=135244973#time135244973,50 Back,12,NA
Cherise Wong,Caltech,Caltech vs. C-M-S,31.82,R,https://www.swimcloud.com/results/314105/event/3/?id=136111908#time136111908,50 Back,–,NA
Audrey Davis,Chapman,Chapman vs. University of San Diego,32.13,X R,https://www.swimcloud.com/results/323855/event/1/?id=138296944#time138296944,50 Back,NA,642
Ella Reedy,Occidental,Occidental Invite,32.15,R,https://www.swimcloud.com/results/321956/event/23/?id=137230632#time137230632,50 Back,NA,640
Sara Dawidian,La Verne,SCIAC Championships,32.44,X R,https://www.swimcloud.com/results/310385/event/27/?id=146862074#time146862074,50 Back,1,NA
